CombinerID,X_Pos,Y_Pos,GroupNo
1,NULL,NULL,1
2,NULL,NULL,1
3,NULL,NULL,1
4,NULL,NULL,1
5,NULL,NULL,1
6,NULL,NULL,1
7,NULL,NULL,1
8,NULL,NULL,1
9,NULL,NULL,1
10,NULL,NULL,1
11,NULL,NULL,1
12,NULL,NULL,1
13,NULL,NULL,1
14,NULL,NULL,1
15,NULL,NULL,1
16,NULL,NULL,1
17,NULL,NULL,1
18,NULL,NULL,1
19,NULL,NULL,1
20,NULL,NULL,1
21,NULL,NULL,1
22,NULL,NULL,1
23,NULL,NULL,1
24,NULL,NULL,1
25,NULL,NULL,1
26,NULL,NULL,1
27,NULL,NULL,1
28,NULL,NULL,1
29,NULL,NULL,1
30,NULL,NULL,1
31,NULL,NULL,1
32,NULL,NULL,1
33,NULL,NULL,1
34,NULL,NULL,1
35,NULL,NULL,1
36,NULL,NULL,1
37,NULL,NULL,1
38,NULL,NULL,1
39,NULL,NULL,1
40,NULL,NULL,1
41,NULL,NULL,1
42,NULL,NULL,1
43,NULL,NULL,1
44,NULL,NULL,1
45,NULL,NULL,1
46,NULL,NULL,1
47,NULL,NULL,1
48,NULL,NULL,1
49,NULL,NULL,1
50,NULL,NULL,1
51,NULL,NULL,99
52,NULL,NULL,99
53,NULL,NULL,99
54,NULL,NULL,99
55,NULL,NULL,99
56,NULL,NULL,1
57,NULL,NULL,1
58,NULL,NULL,1
59,NULL,NULL,1
60,NULL,NULL,1
61,NULL,NULL,1
62,NULL,NULL,1
63,NULL,NULL,1
